	Analysis_Type	Date	ID	Rep	Sample_Type	Sensor	Site	Temp
96	c	071918	AC9_071918_y17_fil_c_3_T17_9	3	fil	AC9	y17	17.9
97	a	071818	AC9_071818_boo_fil_a_1_T22_3	1	fil	AC9	boo	22.3
98	a	071818	AC9_071818_boo_fil_a_2_T22_3	2	fil	AC9	boo	22.3
99	a	071818	AC9_071818_boo_fil_a_3_T21_9	3	fil	AC9	boo	21.9
100	c	071818	AC9_071818_boo_fil_c_1_T22_3	1	fil	AC9	boo	22.3
101	c	071818	AC9_071818_boo_fil_c_2_T22_3	2	fil	AC9	boo	22.3
102	c	071818	AC9_071818_boo_fil_c_3_T21_9	3	fil	AC9	boo	21.9
103	a	071818	AC9_071818_boo_raw_a_1_T17_0	1	raw	AC9	boo	17.0
104	a	071818	AC9_071818_boo_raw_a_2_T17_0	2	raw	AC9	boo	17.0
105	a	071818	AC9_071818_boo_raw_a_3_T17_0	3	raw	AC9	boo	17.0
106	c	071818	AC9_071818_boo_raw_c_1_T17_0	1	raw	AC9	boo	17.0
107	c	071818	AC9_071818_boo_raw_c_2_T17_0	2	raw	AC9	boo	17.0
108	c	071818	AC9_071818_boo_raw_c_3_T17_0	3	raw	AC9	boo	17.0
109	a	071818	AC9_071818_gre_fil_a_1_T22_4	1	fil	AC9	gre	22.4
110	a	071818	AC9_071818_gre_fil_a_2_T22_3	2	fil	AC9	gre	22.3
111	a	071818	AC9_071818_gre_fil_a_3_T22_0	3	fil	AC9	gre	22.0
112	c	071818	AC9_071818_gre_fil_c_1_T22_4	1	fil	AC9	gre	22.4
113	c	071818	AC9_071818_gre_fil_c_2_T22_3	2	fil	AC9	gre	22.3
114	c	071818	AC9_071818_gre_fil_c_3_T22_0	3	fil	AC9	gre	22.0
115	a	071818	AC9_071818_gre_raw_a_1_T17_1	1	raw	AC9	gre	17.1
116	a	071818	AC9_071818_gre_raw_a_2_T17_1	2	raw	AC9	gre	17.1
117	a	071818	AC9_071818_gre_raw_a_3_T17_1	3	raw	AC9	gre	17.1
118	c	071818	AC9_071818_gre_raw_c_1_T17_1	1	raw	AC9	gre	17.1
119	c	071818	AC9_071818_gre_raw_c_2_T17_1	2	raw	AC9	gre	17.1
120	c	071818	AC9_071818_gre_raw_c_3_T17_1	3	raw	AC9	gre	17.1
121	a	071918	AC9_071918_cbr_fil_a_1_T19_8	1	fil	AC9	cbr	19.8
122	a	071918	AC9_071918_cbr_fil_a_2_T19_8	2	fil	AC9	cbr	19.8
123	a	071918	AC9_071918_cbr_fil_a_3_T19_2	3	fil	AC9	cbr	19.2
124	c	071918	AC9_071918_cbr_fil_c_1_T19_8	1	fil	AC9	cbr	19.8
125	c	071918	AC9_071918_cbr_fil_c_2_T19_8	2	fil	AC9	cbr	19.8
126	c	071918	AC9_071918_cbr_fil_c_3_T19_2	3	fil	AC9	cbr	19.2
