wl,mean,Temp,ID,Site,Sample_Type,Analysis_Type,Date,Rep
650.0,1.4004892514395388,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
676.0,1.363849155470248,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
715.0,1.290615259117082,21.9,AC9_071119_ch6_raw_a_2_T21_9,ch6,raw,a,071119,2
412.0,5.460227857142853,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
440.0,3.709826942857145,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
488.0,2.3463520857142863,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
510.0,1.9372053714285715,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
532.0,1.662500457142858,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
555.0,1.5075764857142868,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
650.0,1.1173726000000002,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
676.0,1.0474754857142858,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
715.0,0.9823093999999996,21.1,AC9_071119_ch6_raw_a_3_T21_1,ch6,raw,a,071119,3
412.0,8.623047101449268,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
440.0,6.871020414078678,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
488.0,5.404969171842653,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
510.0,5.075717370600414,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
532.0,4.910852877846791,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
555.0,4.432559710144927,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
650.0,3.8068427329192542,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
676.0,3.519723933747413,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
