wl,mean,Temp,ID,Site,Sample_Type,Analysis_Type,Date,Rep
532.0,33.302605799316176,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
555.0,31.54897155071216,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
650.0,26.756459849991387,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
676.0,24.69756832171411,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
715.0,24.923013898698677,17.8,AC9_071418_bai_raw_c_3_T17_8,bai,raw,c,071418,3
412.0,8.847304928592315,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
440.0,5.478308151397417,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
488.0,2.7810848927840333,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
510.0,2.264559517483394,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
532.0,1.8513284121413955,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
555.0,1.5415642604097637,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
650.0,0.9680614483853444,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
676.0,0.8876091474644767,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
715.0,0.8143942323002651,17.5,AC9_071618_cbr_fil_a_1_T17_5,cbr,fil,a,071618,1
412.0,8.784069063444798,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
440.0,5.360673736065916,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
488.0,2.6183434877333904,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
510.0,2.0557660508550857,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
532.0,1.6211230361882338,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
555.0,1.3134482710194104,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
650.0,0.6808230565556557,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
676.0,0.6266319141914187,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
715.0,0.5549755622677648,17.5,AC9_071618_cbr_fil_a_2_T17_5,cbr,fil,a,071618,2
412.0,15.542255958229413,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
440.0,11.990477664071749,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
488.0,9.294740062227596,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
510.0,8.587280396795407,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
532.0,8.251315473509184,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
555.0,7.820461587181617,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
650.0,7.194454619706239,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
676.0,6.990102143199053,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
715.0,6.857022018743857,17.5,AC9_071618_cbr_fil_a_3_T17_5,cbr,fil,a,071618,3
412.0,9.198647297207833,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
440.0,5.773418473534187,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
488.0,3.104297101848163,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
510.0,2.594260073926502,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
532.0,2.1745356366199773,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
555.0,1.853659541667945,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
650.0,1.2498779588684217,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
676.0,1.1732760882704496,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
715.0,1.1237403719925212,17.5,AC9_071618_cbr_fil_c_1_T17_5,cbr,fil,c,071618,1
412.0,10.122238009185716,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
440.0,6.705232315514985,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
488.0,3.935420130022519,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
510.0,3.3260975120896026,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
532.0,2.9286493624511087,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
555.0,2.5833036575204438,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
650.0,1.912628130437358,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
676.0,1.8761700894275235,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
715.0,1.8233724694204096,17.5,AC9_071618_cbr_fil_c_2_T17_5,cbr,fil,c,071618,2
412.0,10.027482521499106,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
440.0,6.604145069478593,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
488.0,3.7889888028636745,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
510.0,3.1906226946996177,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
532.0,2.7823937204468017,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
555.0,2.4658467704317077,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
650.0,1.752745385949023,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
676.0,1.7130601989045582,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
715.0,1.681056786000776,17.5,AC9_071618_cbr_fil_c_3_T17_5,cbr,fil,c,071618,3
412.0,8.872077857310313,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
440.0,5.382910149506757,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
488.0,2.533061606882002,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
510.0,1.9222116507060558,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
532.0,1.4566772416094065,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
555.0,1.1322469489080071,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
650.0,0.4650424368338476,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
676.0,0.40762954624970704,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
715.0,0.3050548206459991,17.5,AC9_071618_cbr_raw_a_1_T17_5,cbr,raw,a,071618,1
412.0,8.844279174917482,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
440.0,5.355127252475247,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
488.0,2.502030981848188,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
510.0,1.89083438118812,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
532.0,1.4249809240924072,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
555.0,1.1009259075907585,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
650.0,0.4349862046204619,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
676.0,0.3747843151815185,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
715.0,0.27257454620462024,17.5,AC9_071618_cbr_raw_a_2_T17_5,cbr,raw,a,071618,2
412.0,8.844067008098827,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
440.0,5.360272627996352,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
488.0,2.515570224943545,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
510.0,1.9049439037258995,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
532.0,1.437812159762029,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
555.0,1.1139239811316664,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
650.0,0.450973711459962,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
676.0,0.3915334931387873,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
715.0,0.28975292263765834,17.5,AC9_071618_cbr_raw_a_3_T17_5,cbr,raw,a,071618,3
412.0,10.029430850174444,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
440.0,6.407555598406963,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
488.0,3.4213701304683366,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
510.0,2.766299342595167,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
532.0,2.2572275458615034,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
555.0,1.8870570052792432,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
650.0,1.0675021518940453,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
676.0,0.960230336698466,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
715.0,0.8407571739372054,17.5,AC9_071618_cbr_raw_c_1_T17_5,cbr,raw,c,071618,1
412.0,9.941520048581973,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
440.0,6.321068159003189,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
488.0,3.3345586266991085,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
510.0,2.6767954739050186,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
532.0,2.167658419953013,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
555.0,1.8011876610169493,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
650.0,0.9851515007551604,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
676.0,0.875528709347206,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
715.0,0.7610052704312795,17.5,AC9_071618_cbr_raw_c_2_T17_5,cbr,raw,c,071618,2
412.0,9.95676310648974,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
440.0,6.344182558429978,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
488.0,3.3615940224130263,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
510.0,2.7065872583630712,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
532.0,2.1967836919045505,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
555.0,1.834275292595896,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
650.0,1.0140868082069583,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
676.0,0.9086436494201616,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
715.0,0.7894726932426401,17.5,AC9_071618_cbr_raw_c_3_T17_5,cbr,raw,c,071618,3
412.0,61.553021449888035,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
440.0,66.60463455678767,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
488.0,68.22102506976836,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
