Analysis_Type	Date	ID	Rep	Sample_Type	Sensor	Site
a	071918	AC9_071918_y17_fil_a_1_T18_3	1	fil	AC9	y17
a	071918	AC9_071918_y17_fil_a_2_T18_0	2	fil	AC9	y17
a	071918	AC9_071918_y17_fil_a_3_T17_9	3	fil	AC9	y17
c	071918	AC9_071918_y17_fil_c_1_T18_3	1	fil	AC9	y17
c	071918	AC9_071918_y17_fil_c_2_T18_0	2	fil	AC9	y17
c	071918	AC9_071918_y17_fil_c_3_T17_9	3	fil	AC9	y17
a	071918	AC9_071918_y20_fil_a_1_T17_7	1	fil	AC9	y20
a	071918	AC9_071918_y20_fil_a_2_T17_8	2	fil	AC9	y20
a	071918	AC9_071918_y20_fil_a_3_T17_6	3	fil	AC9	y20
a	071918	AC9_071918_y20_fil_a_4_T17_5	4	fil	AC9	y20
c	071918	AC9_071918_y20_fil_c_1_T17_7	1	fil	AC9	y20
c	071918	AC9_071918_y20_fil_c_2_T17_8	2	fil	AC9	y20
c	071918	AC9_071918_y20_fil_c_3_T17_6	3	fil	AC9	y20
c	071918	AC9_071918_y20_fil_c_4_T17_5	4	fil	AC9	y20
a	072118	AC9_072118_fai_cal_a_1_T26_7	1	cal	AC9	fai
a	072118	AC9_072118_fai_cal_a_2_T25_7	2	cal	AC9	fai
a	072118	AC9_072118_fai_cal_a_3_T25_4	3	cal	AC9	fai
c	072118	AC9_072118_fai_cal_c_1_T26_7	1	cal	AC9	fai
c	072118	AC9_072118_fai_cal_c_2_T25_7	2	cal	AC9	fai
c	072118	AC9_072118_fai_cal_c_3_T25_4	3	cal	AC9	fai
a	072118	AC9_072118_fav_cal_a_1_T26_3	1	cal	AC9	fav
c	072118	AC9_072118_fav_cal_c_1_T26_3	1	cal	AC9	fav
a	081618	AC9_081618_sea_cal_a_1_T18_5	1	cal	AC9	sea
a	081618	AC9_081618_sea_cal_a_2_T18_5	2	cal	AC9	sea
a	081618	AC9_081618_sea_cal_a_3_T18_5	3	cal	AC9	sea
a	081618	AC9_081618_sea_cal_a_4_T18_5	4	cal	AC9	sea
c	081618	AC9_081618_sea_cal_c_1_T18_5	1	cal	AC9	sea
c	081618	AC9_081618_sea_cal_c_2_T18_5	2	cal	AC9	sea
c	081618	AC9_081618_sea_cal_c_3_T18_5	3	cal	AC9	sea
c	081618	AC9_081618_sea_cal_c_4_T18_5	4	cal	AC9	sea
