lake,wl,Statistic,Value,Side,Variable
thi,412.0,std,0.039556515339949916,a,a_412_std
thi,440.0,std,0.03479242741556113,a,a_440_std
thi,488.0,std,0.03125174356494441,a,a_488_std
thi,510.0,std,0.030181269071088267,a,a_510_std
thi,532.0,std,0.02840682703245348,a,a_532_std
thi,555.0,std,0.02736542510048417,a,a_555_std
thi,650.0,std,0.02443294705235,a,a_650_std
thi,676.0,std,0.02494765095175915,a,a_676_std
thi,715.0,std,0.02125996671522877,a,a_715_std
bea,412.0,mean,,b,b_412_mean
bea,440.0,mean,,b,b_440_mean
bea,488.0,mean,,b,b_488_mean
bea,510.0,mean,,b,b_510_mean
bea,532.0,mean,,b,b_532_mean
bea,555.0,mean,,b,b_555_mean
bea,650.0,mean,,b,b_650_mean
bea,676.0,mean,,b,b_676_mean
bea,715.0,mean,,b,b_715_mean
ch6,412.0,mean,,b,b_412_mean
ch6,440.0,mean,,b,b_440_mean
ch6,488.0,mean,,b,b_488_mean
ch6,510.0,mean,,b,b_510_mean
ch6,532.0,mean,,b,b_532_mean
ch6,555.0,mean,,b,b_555_mean
ch6,650.0,mean,,b,b_650_mean
ch6,676.0,mean,,b,b_676_mean
ch6,715.0,mean,,b,b_715_mean
dor,412.0,mean,,b,b_412_mean
dor,440.0,mean,,b,b_440_mean
dor,488.0,mean,,b,b_488_mean
dor,510.0,mean,,b,b_510_mean
dor,532.0,mean,,b,b_532_mean
dor,555.0,mean,,b,b_555_mean
dor,650.0,mean,,b,b_650_mean
dor,676.0,mean,,b,b_676_mean
dor,715.0,mean,,b,b_715_mean
egg,412.0,mean,,b,b_412_mean
egg,440.0,mean,,b,b_440_mean
egg,488.0,mean,,b,b_488_mean
egg,510.0,mean,,b,b_510_mean
egg,532.0,mean,,b,b_532_mean
egg,555.0,mean,,b,b_555_mean
egg,650.0,mean,,b,b_650_mean
egg,676.0,mean,,b,b_676_mean
egg,715.0,mean,,b,b_715_mean
flt,412.0,mean,,b,b_412_mean
flt,440.0,mean,,b,b_440_mean
flt,488.0,mean,,b,b_488_mean
flt,510.0,mean,,b,b_510_mean
flt,532.0,mean,,b,b_532_mean
flt,555.0,mean,,b,b_555_mean
flt,650.0,mean,,b,b_650_mean
flt,676.0,mean,,b,b_676_mean
flt,715.0,mean,,b,b_715_mean
gst,412.0,mean,,b,b_412_mean
gst,440.0,mean,,b,b_440_mean
gst,488.0,mean,,b,b_488_mean
gst,510.0,mean,,b,b_510_mean
gst,532.0,mean,,b,b_532_mean
gst,555.0,mean,,b,b_555_mean
gst,650.0,mean,,b,b_650_mean
gst,676.0,mean,,b,b_676_mean
gst,715.0,mean,,b,b_715_mean
lim,412.0,mean,,b,b_412_mean
lim,440.0,mean,,b,b_440_mean
lim,488.0,mean,,b,b_488_mean
lim,510.0,mean,,b,b_510_mean
lim,532.0,mean,,b,b_532_mean
lim,555.0,mean,,b,b_555_mean
lim,650.0,mean,,b,b_650_mean
lim,676.0,mean,,b,b_676_mean
lim,715.0,mean,,b,b_715_mean
lit,412.0,mean,,b,b_412_mean
lit,440.0,mean,,b,b_440_mean
lit,488.0,mean,,b,b_488_mean
lit,510.0,mean,,b,b_510_mean
lit,532.0,mean,,b,b_532_mean
lit,555.0,mean,,b,b_555_mean
lit,650.0,mean,,b,b_650_mean
lit,676.0,mean,,b,b_676_mean
lit,715.0,mean,,b,b_715_mean
rat,412.0,mean,,b,b_412_mean
rat,440.0,mean,,b,b_440_mean
rat,488.0,mean,,b,b_488_mean
rat,510.0,mean,,b,b_510_mean
rat,532.0,mean,,b,b_532_mean
rat,555.0,mean,,b,b_555_mean
rat,650.0,mean,,b,b_650_mean
rat,676.0,mean,,b,b_676_mean
rat,715.0,mean,,b,b_715_mean
rob,412.0,mean,,b,b_412_mean
rob,440.0,mean,,b,b_440_mean
rob,488.0,mean,,b,b_488_mean
rob,510.0,mean,,b,b_510_mean
rob,532.0,mean,,b,b_532_mean
rob,555.0,mean,,b,b_555_mean
rob,650.0,mean,,b,b_650_mean
rob,676.0,mean,,b,b_676_mean
rob,715.0,mean,,b,b_715_mean
roc,412.0,mean,,b,b_412_mean
roc,440.0,mean,,b,b_440_mean
roc,488.0,mean,,b,b_488_mean
roc,510.0,mean,,b,b_510_mean
roc,532.0,mean,,b,b_532_mean
roc,555.0,mean,,b,b_555_mean
roc,650.0,mean,,b,b_650_mean
roc,676.0,mean,,b,b_676_mean
roc,715.0,mean,,b,b_715_mean
thi,412.0,mean,,b,b_412_mean
thi,440.0,mean,,b,b_440_mean
thi,488.0,mean,,b,b_488_mean
thi,510.0,mean,,b,b_510_mean
thi,532.0,mean,,b,b_532_mean
thi,555.0,mean,,b,b_555_mean
thi,650.0,mean,,b,b_650_mean
thi,676.0,mean,,b,b_676_mean
thi,715.0,mean,,b,b_715_mean
bea,412.0,std,0.02393144157343575,b,b_412_std
bea,440.0,std,0.02218609928717809,b,b_440_std
bea,488.0,std,0.02057590900250636,b,b_488_std
bea,510.0,std,0.02065256840696723,b,b_510_std
bea,532.0,std,0.0198917596074844,b,b_532_std
bea,555.0,std,0.018552842134729783,b,b_555_std
bea,650.0,std,0.015674825624140343,b,b_650_std
bea,676.0,std,0.016906464717047164,b,b_676_std
bea,715.0,std,0.014857136816842647,b,b_715_std
ch6,412.0,std,0.8491537195609153,b,b_412_std
ch6,440.0,std,0.6921285361337763,b,b_440_std
ch6,488.0,std,0.5706498857540329,b,b_488_std
ch6,510.0,std,0.5396279972521475,b,b_510_std
ch6,532.0,std,0.5265733500698022,b,b_532_std
ch6,555.0,std,0.4877323217856391,b,b_555_std
ch6,650.0,std,0.4409279428244987,b,b_650_std
ch6,676.0,std,0.4027815392245935,b,b_676_std
ch6,715.0,std,0.3913663632634798,b,b_715_std
